AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,HOUSEHOLD_KEY
65+,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,406
35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+,407
25-34,U,Under 15K,Unknown,1 Adult Kids,2,1,408
19-24,B,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,409
55-64,A,35-49K,Homeowner,2 Adults Kids,5+,3+,410
35-44,U,Under 15K,Unknown,2 Adults No Kids,2,None/Unknown,411
65+,A,15-24K,Homeowner,Single Female,2,None/Unknown,412
45-54,U,100-124K,Unknown,Unknown,1,None/Unknown,413
45-54,A,75-99K,Homeowner,1 Adult Kids,4,2,414
45-54,U,35-49K,Unknown,Single Male,1,None/Unknown,415
45-54,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,416
45-54,A,35-49K,Unknown,Single Female,2,None/Unknown,417
35-44,U,35-49K,Unknown,2 Adults Kids,3,1,418
45-54,B,100-124K,Homeowner,Unknown,1,None/Unknown,419
55-64,A,15-24K,Unknown,Single Female,2,None/Unknown,420
45-54,U,50-74K,Unknown,1 Adult Kids,2,1,421
45-54,U,250K+,Homeowner,2 Adults No Kids,2,None/Unknown,422
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,423
35-44,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,424
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,425
45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,426
35-44,U,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,427
19-24,U,50-74K,Probable Owner,2 Adults No Kids,2,None/Unknown,428
65+,A,75-99K,Homeowner,Single Female,2,None/Unknown,429
35-44,A,75-99K,Homeowner,2 Adults Kids,5+,3+,430
45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,431
19-24,U,25-34K,Unknown,Single Female,1,None/Unknown,432
25-34,A,150-174K,Homeowner,2 Adults Kids,4,2,433
35-44,A,15-24K,Homeowner,2 Adults Kids,3,1,434
35-44,A,100-124K,Unknown,2 Adults Kids,5+,3+,435
45-54,U,Under 15K,Probable Renter,Single Male,1,None/Unknown,436
25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+,437
35-44,A,50-74K,Probable Owner,2 Adults No Kids,2,None/Unknown,438
45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,439
65+,B,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,440
45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown,441
25-34,U,15-24K,Unknown,1 Adult Kids,2,1,442
45-54,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,443
25-34,U,15-24K,Homeowner,2 Adults Kids,4,2,444
35-44,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,445
45-54,U,35-49K,Homeowner,Unknown,1,None/Unknown,446
25-34,B,50-74K,Homeowner,Single Female,1,None/Unknown,447
45-54,U,25-34K,Unknown,Single Female,1,None/Unknown,448
45-54,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,449
65+,U,50-74K,Unknown,Single Male,1,None/Unknown,450
25-34,B,Under 15K,Renter,2 Adults No Kids,2,None/Unknown,451
35-44,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,452
65+,B,35-49K,Homeowner,Single Male,1,None/Unknown,453
55-64,U,35-49K,Unknown,Single Male,1,None/Unknown,454
25-34,U,15-24K,Homeowner,2 Adults Kids,4,2,455
19-24,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,456
35-44,B,50-74K,Homeowner,2 Adults Kids,3,1,457
55-64,A,35-49K,Homeowner,Single Female,2,None/Unknown,458
19-24,A,35-49K,Renter,2 Adults No Kids,2,None/Unknown,459
65+,B,25-34K,Homeowner,Single Female,1,None/Unknown,460
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,461
65+,U,100-124K,Unknown,Single Male,1,None/Unknown,462
25-34,U,125-149K,Homeowner,2 Adults Kids,4,2,463
65+,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,464
35-44,A,125-149K,Homeowner,2 Adults Kids,5+,3+,465
19-24,U,Under 15K,Unknown,Unknown,1,None/Unknown,466
19-24,A,35-49K,Renter,2 Adults No Kids,2,None/Unknown,467
45-54,U,Under 15K,Unknown,Single Female,1,None/Unknown,468
45-54,U,75-99K,Probable Owner,Single Female,1,None/Unknown,469
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,470
25-34,U,125-149K,Homeowner,2 Adults Kids,4,2,471
35-44,A,125-149K,Homeowner,2 Adults Kids,3,1,472
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,473
55-64,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,474
45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,475
25-34,A,125-149K,Homeowner,2 Adults Kids,3,1,476
25-34,A,75-99K,Homeowner,Single Male,2,None/Unknown,477
45-54,U,25-34K,Homeowner,2 Adults Kids,3,1,478
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,479
45-54,U,25-34K,Unknown,Single Male,1,None/Unknown,480
45-54,U,25-34K,Unknown,Single Male,1,None/Unknown,481
45-54,A,Under 15K,Homeowner,2 Adults Kids,3,1,482
45-54,U,35-49K,Unknown,Single Female,1,None/Unknown,483
25-34,U,15-24K,Unknown,2 Adults No Kids,2,None/Unknown,484
35-44,U,25-34K,Homeowner,Single Male,1,None/Unknown,485
35-44,A,35-49K,Homeowner,2 Adults Kids,5+,3+,486
45-54,U,75-99K,Homeowner,2 Adults Kids,3,1,487
55-64,U,35-49K,Unknown,Single Male,1,None/Unknown,488
55-64,U,150-174K,Unknown,Single Female,1,None/Unknown,489
35-44,A,75-99K,Homeowner,2 Adults Kids,5+,3+,490
45-54,A,75-99K,Unknown,Single Female,2,None/Unknown,491
45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,492
55-64,U,50-74K,Unknown,Unknown,1,None/Unknown,493
45-54,U,75-99K,Homeowner,Unknown,1,None/Unknown,494
25-34,B,25-34K,Renter,1 Adult Kids,3,2,495
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,496
35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+,497
25-34,U,25-34K,Unknown,2 Adults Kids,3,1,498
25-34,U,50-74K,Homeowner,Single Male,1,None/Unknown,499
55-64,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,500
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,501
25-34,A,50-74K,Homeowner,2 Adults Kids,4,2,502
55-64,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,503
45-54,A,50-74K,Homeowner,2 Adults Kids,3,1,504
35-44,U,25-34K,Unknown,2 Adults No Kids,2,None/Unknown,505
25-34,B,50-74K,Unknown,Single Male,1,None/Unknown,506
65+,A,35-49K,Homeowner,Single Female,2,None/Unknown,507
25-34,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,508
45-54,U,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,509
35-44,A,250K+,Homeowner,2 Adults Kids,3,1,510
45-54,B,Under 15K,Homeowner,2 Adults Kids,3,1,511
25-34,U,25-34K,Homeowner,1 Adult Kids,5+,3+,512
45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,513
65+,A,35-49K,Homeowner,1 Adult Kids,3,1,514
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,515
25-34,U,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,516
35-44,B,25-34K,Unknown,Single Female,1,None/Unknown,517
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,518
19-24,U,Under 15K,Unknown,Unknown,1,None/Unknown,519
45-54,B,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,520
45-54,U,50-74K,Renter,Unknown,1,None/Unknown,521
45-54,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,522
65+,B,35-49K,Homeowner,Single Male,1,None/Unknown,523
35-44,B,75-99K,Renter,Single Male,1,None/Unknown,524
35-44,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,525
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,526
45-54,U,50-74K,Homeowner,Single Female,1,None/Unknown,527
19-24,B,50-74K,Unknown,2 Adults Kids,3,1,528
65+,U,15-24K,Homeowner,Single Female,1,None/Unknown,529
35-44,A,Under 15K,Unknown,Single Female,2,None/Unknown,530
45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,531
19-24,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,532
45-54,B,35-49K,Renter,Single Female,1,None/Unknown,533
45-54,U,35-49K,Unknown,Single Male,1,None/Unknown,534
45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,535
19-24,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,536
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,537
45-54,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,538
65+,A,25-34K,Homeowner,Single Female,2,None/Unknown,539
25-34,B,50-74K,Homeowner,Single Female,1,None/Unknown,540
45-54,B,25-34K,Renter,1 Adult Kids,2,1,541
25-34,U,35-49K,Unknown,Single Female,1,None/Unknown,542
35-44,A,35-49K,Probable Owner,1 Adult Kids,3,1,543
65+,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,544
45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown,545
45-54,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,546
25-34,B,25-34K,Renter,1 Adult Kids,3,2,547
35-44,B,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,548
25-34,A,35-49K,Homeowner,2 Adults Kids,5+,3+,549
25-34,U,25-34K,Unknown,1 Adult Kids,3,2,550
35-44,A,50-74K,Renter,Single Female,2,None/Unknown,551
45-54,U,15-24K,Unknown,Single Female,1,None/Unknown,552
45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,553
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,554
25-34,A,50-74K,Unknown,2 Adults Kids,5+,3+,555
35-44,B,25-34K,Unknown,Single Female,1,None/Unknown,556
45-54,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,557
35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+,558
25-34,B,Under 15K,Renter,2 Adults No Kids,2,None/Unknown,559
19-24,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,560
25-34,U,25-34K,Unknown,2 Adults No Kids,2,None/Unknown,561
25-34,B,25-34K,Homeowner,Single Male,1,None/Unknown,562
19-24,A,200-249K,Unknown,2 Adults No Kids,2,None/Unknown,563
25-34,A,25-34K,Homeowner,2 Adults Kids,3,1,564
45-54,B,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,565
25-34,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,566
19-24,U,25-34K,Unknown,Single Male,1,None/Unknown,567
45-54,U,15-24K,Unknown,Single Male,1,None/Unknown,568
35-44,A,250K+,Homeowner,2 Adults Kids,3,1,569
45-54,U,35-49K,Unknown,Single Female,1,None/Unknown,570
25-34,B,Under 15K,Renter,2 Adults No Kids,2,None/Unknown,571
35-44,A,125-149K,Homeowner,2 Adults Kids,5+,3+,572
35-44,A,250K+,Homeowner,2 Adults Kids,3,1,573
35-44,A,75-99K,Homeowner,2 Adults Kids,3,1,574
35-44,U,50-74K,Unknown,Single Female,1,None/Unknown,575
55-64,A,35-49K,Homeowner,Single Male,2,None/Unknown,576
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,577
25-34,U,50-74K,Unknown,Single Male,1,None/Unknown,578
19-24,U,25-34K,Unknown,Single Male,1,None/Unknown,579
45-54,U,35-49K,Homeowner,2 Adults Kids,3,1,580
45-54,A,Under 15K,Homeowner,Single Male,2,None/Unknown,581
45-54,A,125-149K,Homeowner,Unknown,3,1,582
35-44,B,15-24K,Unknown,Single Female,1,None/Unknown,583
45-54,A,15-24K,Homeowner,2 Adults Kids,5+,3+,584
45-54,U,35-49K,Unknown,Single Male,1,None/Unknown,585
19-24,A,35-49K,Renter,2 Adults Kids,3,1,586
45-54,U,75-99K,Homeowner,Unknown,1,None/Unknown,587
35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+,588
25-34,U,35-49K,Unknown,Single Male,1,None/Unknown,589
35-44,U,50-74K,Unknown,Single Female,1,None/Unknown,590
25-34,A,75-99K,Homeowner,2 Adults Kids,3,1,591
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,592
35-44,U,35-49K,Unknown,Single Male,1,None/Unknown,593
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,594
25-34,U,35-49K,Unknown,2 Adults Kids,3,1,595
45-54,A,15-24K,Homeowner,1 Adult Kids,3,1,596
19-24,U,Under 15K,Unknown,1 Adult Kids,2,1,597
35-44,B,25-34K,Unknown,Single Female,1,None/Unknown,598
25-34,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,599
25-34,A,25-34K,Unknown,Unknown,2,None/Unknown,600
35-44,A,100-124K,Homeowner,2 Adults Kids,4,2,601
45-54,U,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,602
45-54,A,35-49K,Homeowner,Unknown,2,None/Unknown,603
45-54,A,125-149K,Homeowner,1 Adult Kids,5+,3+,604
25-34,A,75-99K,Homeowner,2 Adults Kids,4,2,605
45-54,U,35-49K,Probable Renter,Unknown,1,None/Unknown,606
45-54,U,125-149K,Unknown,Unknown,1,None/Unknown,607
25-34,B,25-34K,Renter,1 Adult Kids,5+,3+,608
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,609
45-54,U,35-49K,Unknown,Single Male,1,None/Unknown,610
65+,B,25-34K,Homeowner,Single Female,1,None/Unknown,611
45-54,A,175-199K,Homeowner,2 Adults No Kids,2,None/Unknown,612
55-64,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,613
35-44,A,15-24K,Unknown,2 Adults Kids,4,2,614
65+,A,15-24K,Homeowner,Single Female,2,None/Unknown,615
45-54,A,50-74K,Homeowner,2 Adults Kids,4,2,616
35-44,U,35-49K,Unknown,Single Female,1,None/Unknown,617
35-44,B,35-49K,Homeowner,1 Adult Kids,4,3+,618
65+,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,619
45-54,A,35-49K,Homeowner,2 Adults Kids,5+,3+,620
45-54,U,35-49K,Unknown,Single Male,1,None/Unknown,621
35-44,U,15-24K,Unknown,Single Female,1,None/Unknown,622
45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,623
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,624
55-64,A,50-74K,Homeowner,Single Female,2,None/Unknown,625
25-34,B,25-34K,Unknown,1 Adult Kids,3,2,626
45-54,B,75-99K,Homeowner,Single Male,1,None/Unknown,627
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,628
35-44,A,25-34K,Homeowner,Single Female,2,None/Unknown,629
35-44,A,35-49K,Homeowner,2 Adults Kids,3,1,630
65+,A,100-124K,Homeowner,2 Adults Kids,3,1,631
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,632
55-64,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,633
65+,B,35-49K,Homeowner,Single Male,1,None/Unknown,634
35-44,A,50-74K,Homeowner,2 Adults Kids,3,1,635
25-34,U,15-24K,Unknown,1 Adult Kids,2,1,636
25-34,A,35-49K,Unknown,2 Adults Kids,3,1,637
45-54,U,75-99K,Homeowner,Unknown,1,None/Unknown,638
25-34,U,50-74K,Unknown,Single Female,1,None/Unknown,639
45-54,U,50-74K,Unknown,Unknown,2,1,640
35-44,U,50-74K,Homeowner,Unknown,1,None/Unknown,641
35-44,U,25-34K,Unknown,2 Adults No Kids,2,None/Unknown,642
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,643
65+,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,644
45-54,U,15-24K,Homeowner,Single Female,1,None/Unknown,645
45-54,U,25-34K,Unknown,Single Female,1,None/Unknown,646
35-44,A,50-74K,Renter,2 Adults Kids,4,2,647
45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,648
35-44,B,Under 15K,Renter,2 Adults Kids,4,2,649
65+,A,35-49K,Homeowner,Single Female,2,None/Unknown,650
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,651
35-44,A,75-99K,Homeowner,2 Adults Kids,4,2,652
45-54,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,653
19-24,U,250K+,Unknown,Single Female,1,None/Unknown,654
35-44,B,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,655
35-44,A,150-174K,Homeowner,2 Adults Kids,3,1,656
45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown,657
25-34,A,50-74K,Homeowner,Single Female,2,None/Unknown,658
35-44,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,659
55-64,A,50-74K,Homeowner,Unknown,2,None/Unknown,660
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,661
55-64,A,35-49K,Homeowner,Single Female,2,None/Unknown,662
55-64,U,50-74K,Homeowner,Unknown,1,None/Unknown,663
35-44,A,25-34K,Homeowner,Single Female,2,None/Unknown,664
35-44,A,75-99K,Homeowner,Single Female,2,None/Unknown,665
45-54,A,50-74K,Homeowner,1 Adult Kids,4,2,666
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,667
45-54,U,35-49K,Unknown,Single Female,1,None/Unknown,668
45-54,U,35-49K,Renter,Unknown,1,None/Unknown,669
55-64,A,35-49K,Unknown,2 Adults Kids,3,1,670
35-44,U,35-49K,Homeowner,Single Female,1,None/Unknown,671
35-44,U,25-34K,Unknown,2 Adults No Kids,2,None/Unknown,672
25-34,U,35-49K,Homeowner,Single Female,1,None/Unknown,673
35-44,A,125-149K,Renter,Single Female,2,None/Unknown,674
35-44,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,675
35-44,U,35-49K,Unknown,Single Male,1,None/Unknown,676
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,677
25-34,U,35-49K,Unknown,Single Male,1,None/Unknown,678
35-44,A,75-99K,Homeowner,2 Adults Kids,5+,3+,679
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,680
35-44,B,150-174K,Homeowner,Single Male,1,None/Unknown,681
65+,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown,682
45-54,U,50-74K,Unknown,Unknown,2,1,683
45-54,U,15-24K,Homeowner,Unknown,1,None/Unknown,684
35-44,A,Under 15K,Unknown,Single Female,2,None/Unknown,685
45-54,B,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,686
45-54,B,35-49K,Renter,Single Female,1,None/Unknown,687
35-44,A,125-149K,Homeowner,2 Adults Kids,3,1,688
65+,U,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,689
65+,B,15-24K,Homeowner,Single Female,1,None/Unknown,690
35-44,B,15-24K,Unknown,Single Female,1,None/Unknown,691
65+,U,35-49K,Homeowner,Single Female,1,None/Unknown,692
45-54,U,15-24K,Unknown,2 Adults No Kids,2,None/Unknown,693
35-44,B,75-99K,Homeowner,Single Male,1,None/Unknown,694
35-44,B,35-49K,Unknown,1 Adult Kids,3,2,695
35-44,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,696
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,697
35-44,A,Under 15K,Renter,Unknown,3,1,698
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,699
35-44,U,35-49K,Unknown,1 Adult Kids,2,1,700
35-44,A,25-34K,Homeowner,2 Adults Kids,5+,3+,701
35-44,U,Under 15K,Unknown,Unknown,1,None/Unknown,702
25-34,A,100-124K,Homeowner,2 Adults Kids,3,1,703
45-54,U,125-149K,Unknown,Unknown,1,None/Unknown,704
35-44,A,35-49K,Homeowner,2 Adults Kids,5+,3+,705
45-54,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,706
25-34,A,100-124K,Homeowner,2 Adults Kids,5+,3+,707
35-44,A,100-124K,Homeowner,2 Adults Kids,4,2,708
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,709
35-44,A,Under 15K,Renter,Unknown,3,1,710
45-54,U,Under 15K,Unknown,Unknown,1,None/Unknown,711
65+,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,712
35-44,U,50-74K,Unknown,Single Female,1,None/Unknown,713
55-64,U,15-24K,Unknown,2 Adults Kids,3,1,714
55-64,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,715
45-54,A,75-99K,Homeowner,2 Adults Kids,5+,3+,716
35-44,A,250K+,Homeowner,2 Adults Kids,3,1,717
45-54,A,25-34K,Homeowner,2 Adults Kids,5+,3+,718
35-44,A,Under 15K,Homeowner,2 Adults Kids,3,1,719
45-54,U,35-49K,Homeowner,2 Adults Kids,3,1,720
25-34,U,Under 15K,Unknown,2 Adults Kids,3,1,721
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,722
25-34,B,50-74K,Homeowner,Single Female,1,None/Unknown,723
19-24,B,Under 15K,Renter,2 Adults Kids,5+,3+,724
45-54,U,25-34K,Unknown,Single Female,1,None/Unknown,725
35-44,A,50-74K,Probable Owner,2 Adults No Kids,2,None/Unknown,726
45-54,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,727
35-44,B,25-34K,Probable Owner,Single Female,1,None/Unknown,728
55-64,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,729
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,730
45-54,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,731
55-64,A,75-99K,Homeowner,2 Adults Kids,4,2,732
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,733
19-24,U,Under 15K,Probable Renter,Single Female,1,None/Unknown,734
35-44,B,Under 15K,Renter,2 Adults Kids,4,2,735
45-54,U,35-49K,Unknown,Single Female,1,None/Unknown,736
45-54,U,Under 15K,Unknown,Single Male,1,None/Unknown,737
19-24,U,50-74K,Unknown,Single Male,1,None/Unknown,738
45-54,A,250K+,Homeowner,2 Adults No Kids,2,None/Unknown,739
45-54,A,175-199K,Homeowner,Single Female,2,None/Unknown,740
65+,U,50-74K,Homeowner,2 Adults Kids,3,1,741
35-44,A,15-24K,Renter,1 Adult Kids,4,2,742
45-54,U,Under 15K,Unknown,Unknown,1,None/Unknown,743
35-44,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,744
45-54,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown,745
25-34,B,150-174K,Homeowner,Single Female,1,None/Unknown,746
19-24,U,25-34K,Unknown,2 Adults No Kids,2,None/Unknown,747
45-54,B,Under 15K,Homeowner,2 Adults Kids,3,1,748
25-34,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,749
45-54,U,75-99K,Homeowner,Unknown,1,None/Unknown,750
55-64,A,Under 15K,Homeowner,Single Female,2,None/Unknown,751
35-44,A,75-99K,Renter,Single Female,2,None/Unknown,752
45-54,A,75-99K,Homeowner,2 Adults Kids,4,2,753
25-34,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,754
35-44,U,50-74K,Homeowner,Unknown,1,None/Unknown,755
45-54,A,75-99K,Homeowner,Single Male,2,None/Unknown,756
45-54,U,Under 15K,Homeowner,Single Male,1,None/Unknown,757
55-64,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown,758
25-34,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,759
45-54,A,25-34K,Renter,Single Male,2,None/Unknown,760
25-34,A,125-149K,Homeowner,1 Adult Kids,5+,3+,761
35-44,A,125-149K,Renter,Single Female,2,None/Unknown,762
55-64,A,25-34K,Homeowner,Single Female,2,None/Unknown,763
35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+,764
45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,765
45-54,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,766
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,767
35-44,A,50-74K,Renter,Single Female,2,None/Unknown,768
19-24,U,Under 15K,Unknown,1 Adult Kids,2,1,769
25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+,770
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,771
35-44,U,35-49K,Unknown,1 Adult Kids,2,1,772
25-34,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,773
35-44,A,75-99K,Homeowner,2 Adults Kids,3,1,774
45-54,B,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,775
35-44,B,35-49K,Homeowner,1 Adult Kids,4,3+,776
45-54,A,125-149K,Homeowner,2 Adults Kids,5+,3+,777
65+,A,100-124K,Homeowner,Single Female,2,None/Unknown,778
65+,U,125-149K,Homeowner,2 Adults Kids,3,1,779
45-54,U,125-149K,Homeowner,Unknown,5+,3+,780
45-54,A,35-49K,Homeowner,2 Adults Kids,5+,3+,781
55-64,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown,782
45-54,A,125-149K,Homeowner,2 Adults Kids,5+,3+,783
45-54,A,100-124K,Homeowner,Single Female,2,None/Unknown,784
65+,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,785
19-24,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,786
25-34,B,25-34K,Homeowner,Single Male,1,None/Unknown,787
25-34,U,Under 15K,Unknown,1 Adult Kids,2,1,788
45-54,U,25-34K,Unknown,Single Female,1,None/Unknown,789
45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,790
65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,791
35-44,A,125-149K,Homeowner,2 Adults Kids,3,1,792
35-44,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown,793
25-34,U,25-34K,Unknown,2 Adults Kids,3,1,794
25-34,B,50-74K,Homeowner,Single Male,1,None/Unknown,795
35-44,B,Under 15K,Homeowner,Single Female,1,None/Unknown,796
25-34,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,797
35-44,B,15-24K,Homeowner,2 Adults Kids,5+,3+,798
55-64,A,35-49K,Homeowner,Single Male,2,None/Unknown,799
25-34,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,800
45-54,A,75-99K,Homeowner,2 Adults Kids,5+,3+,801
65+,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,802
25-34,U,75-99K,Unknown,2 Adults No Kids,2,None/Unknown,803
45-54,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,804
35-44,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown,805
35-44,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,806
65+,B,25-34K,Unknown,Single Female,1,None/Unknown,807
45-54,U,75-99K,Homeowner,2 Adults Kids,3,1,808
35-44,U,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown,809
35-44,A,50-74K,Renter,Single Female,2,None/Unknown,810
65+,B,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,811
55-64,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,812
25-34,A,35-49K,Homeowner,2 Adults Kids,3,1,813
25-34,A,75-99K,Renter,2 Adults Kids,3,1,814
45-54,A,75-99K,Homeowner,Unknown,3,1,815
25-34,U,50-74K,Unknown,Single Female,1,None/Unknown,816
